['filename', 'com.google.Tocom.google.', 'com.google.Toxml.', 'com.google.Toapache.', 'com.google.Tojavax.', 'com.google.Tojava.', 'com.google.Toandroid.', 'com.google.Tojson.', 'com.google.Todom.', 'com.google.Toselfdefined', 'com.google.Toobfuscated', 'xml.Tocom.google.', 'xml.Toxml.', 'xml.Toapache.', 'xml.Tojavax.', 'xml.Tojava.', 'xml.Toandroid.', 'xml.Tojson.', 'xml.Todom.', 'xml.Toselfdefined', 'xml.Toobfuscated', 'apache.Tocom.google.', 'apache.Toxml.', 'apache.Toapache.', 'apache.Tojavax.', 'apache.Tojava.', 'apache.Toandroid.', 'apache.Tojson.', 'apache.Todom.', 'apache.Toselfdefined', 'apache.Toobfuscated', 'javax.Tocom.google.', 'javax.Toxml.', 'javax.Toapache.', 'javax.Tojavax.', 'javax.Tojava.', 'javax.Toandroid.', 'javax.Tojson.', 'javax.Todom.', 'javax.Toselfdefined', 'javax.Toobfuscated', 'java.Tocom.google.', 'java.Toxml.', 'java.Toapache.', 'java.Tojavax.', 'java.Tojava.', 'java.Toandroid.', 'java.Tojson.', 'java.Todom.', 'java.Toselfdefined', 'java.Toobfuscated', 'android.Tocom.google.', 'android.Toxml.', 'android.Toapache.', 'android.Tojavax.', 'android.Tojava.', 'android.Toandroid.', 'android.Tojson.', 'android.Todom.', 'android.Toselfdefined', 'android.Toobfuscated', 'json.Tocom.google.', 'json.Toxml.', 'json.Toapache.', 'json.Tojavax.', 'json.Tojava.', 'json.Toandroid.', 'json.Tojson.', 'json.Todom.', 'json.Toselfdefined', 'json.Toobfuscated', 'dom.Tocom.google.', 'dom.Toxml.', 'dom.Toapache.', 'dom.Tojavax.', 'dom.Tojava.', 'dom.Toandroid.', 'dom.Tojson.', 'dom.Todom.', 'dom.Toselfdefined', 'dom.Toobfuscated', 'selfdefinedTocom.google.', 'selfdefinedToxml.', 'selfdefinedToapache.', 'selfdefinedTojavax.', 'selfdefinedTojava.', 'selfdefinedToandroid.', 'selfdefinedTojson.', 'selfdefinedTodom.', 'selfdefinedToselfdefined', 'selfdefinedToobfuscated', 'obfuscatedTocom.google.', 'obfuscatedToxml.', 'obfuscatedToapache.', 'obfuscatedTojavax.', 'obfuscatedTojava.', 'obfuscatedToandroid.', 'obfuscatedTojson.', 'obfuscatedTodom.', 'obfuscatedToselfdefined', 'obfuscatedToobfuscated']
['5ef2f10b38fd30b3e7fb46e01b52deb034bfc90177cbf073b2a034d2b4ec93c5.apk.txt', 0.56872635561160156, 0.0, 0.0, 0.0, 0.20554854981084489, 0.05737704918032787, 0.0, 0.0, 0.0, 0.16834804539722573, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017543859649122806, 0.98245614035087714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.99102691924227315, 0.0, 0.0, 0.0, 0.0, 0.0089730807577268201, 0.020233591051159731, 0.0, 0.0, 0.004441519986839941, 0.49794374074683334, 0.35762460931074191, 0.0, 0.0, 0.059220266491199214, 0.060536272413225858, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.022162571408906324, 0.0, 0.0, 0.0037855323835088443, 0.29947002546630874, 0.25583316126367955, 0.0, 0.0, 0.32335329341317365, 0.09539541606442288, 0.010226767452200978, 0.0, 0.0, 0.0, 0.066251667407736775, 0.43797243219208537, 0.0, 0.0, 0.41218319253001334, 0.073365940417963543]
['95ba7b2e7d8a632e99060111e582844f5b5b87f3e25d00f87b22c852980cbd95.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016129032258064516, 0.9838709677419355, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.98863636363636365, 0.0, 0.0, 0.0, 0.0, 0.011363636363636364, 0.0, 0.0, 0.0, 0.0, 0.61068702290076338, 0.33545377438507207, 0.0, 0.0, 0.0, 0.053859202714164549, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0070362804477415806, 0.27921728846360605, 0.23232866238994612, 0.0, 0.0, 0.36712898254667958, 0.11428878615202666, 0.0, 0.0, 0.0, 0.0, 0.28494169342572251, 0.18962311982423524, 0.0, 0.0, 0.2104106810883894, 0.31502450566165285]
['efda30ea8966a1d112101cc194733ec41d2b429e4c8c0663aa1e4a652511b228.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.99416342412451364, 0.0, 0.0, 0.0, 0.0, 0.0058365758754863814, 0.0, 0.0, 0.0, 0.0, 0.51230101302460207, 0.40086830680173663, 0.0, 0.0, 0.011577424023154847, 0.075253256150506515, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0036302346687410864, 0.2923635420718268, 0.2547646830027227, 0.0, 0.0, 0.35589264877479582, 0.093348891481913651, 0.0, 0.0, 0.0, 0.0, 0.00234192037470726, 0.41217798594847777, 0.0, 0.0, 0.45433255269320844, 0.13114754098360656]
['93e159919e04aea88498cc572933819e996655cddc3626d39b2b33acaa155897.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38686131386861317, 0.50547445255474455, 0.0, 0.0, 0.0, 0.10766423357664233, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00050864699898270599, 0.4448118006103764, 0.19252288911495422, 0.0, 0.0, 0.31790437436419128, 0.044252288911495422, 0.0, 0.0, 0.0, 0.0, 0.0, 0.40654205607476634, 0.0, 0.0, 0.51869158878504673, 0.07476635514018691]
['63fe13089c404ba5ff5a10155211aab45a584ab4c2313abd510d5fb5ac8cbf48.apk.txt', 0.42495479204339964, 0.0, 0.0, 0.0, 0.32851115129596142, 0.17420132610006028, 0.0, 0.0, 0.0024110910186859553, 0.069921639541892705, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012500000000000001, 0.98750000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.98537774167343628, 0.0, 0.0, 0.0, 0.0, 0.01462225832656377, 0.0, 0.0, 0.0, 0.0, 0.7100591715976331, 0.22534516765285997, 0.0, 0.0, 0.0, 0.0645956607495069, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.026160550186755203, 0.0, 0.0, 0.0091895417086618834, 0.27690164226003439, 0.22324657615462146, 0.0, 0.0, 0.29080452955475189, 0.17369716013517519, 0.025409591897527554, 0.0, 0.0, 0.0078641644325290437, 0.23875484063151622, 0.23047363717605004, 0.0, 0.0, 0.22392016681560917, 0.27357759904676793]
['c62db15864fdf4d75baa226ae5108e4242c49e2148f84e73d6e485437a708542.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.99629629629629635, 0.0, 0.0, 0.0, 0.0, 0.0037037037037037038, 0.0, 0.0, 0.0, 0.0, 0.36967632027257241, 0.50851788756388416, 0.0, 0.0, 0.017035775127768313, 0.10477001703577513, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0012704174228675136, 0.36170598911070778, 0.20362976406533576, 0.0, 0.0, 0.36243194192377498, 0.070961887477313981, 0.0, 0.0, 0.0, 0.0, 0.13866666666666666, 0.36799999999999999, 0.0, 0.0, 0.33600000000000002, 0.15733333333333333]
['6d35af4bbacf9fc0e93bb1bd60a149a182a1f6e84ce07027009a2f6646cc4822.apk.txt', 0.2362921072043275, 0.0, 0.0, 0.011310548315711827, 0.2868207523973445, 0.12417014998770592, 0.0, 0.0, 0.24342267027292844, 0.097983771821981799, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012345679012345678, 0.98765432098765427, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9916666666666667, 0.0, 0.0, 0.0, 0.0, 0.0083333333333333332, 0.0, 0.0, 0.0, 0.0, 0.76674737691686845, 0.19854721549636803, 0.0, 0.0, 0.0, 0.03470540758676352, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.029490237930818005, 0.0, 0.0, 0.014140875133404483, 0.27368321928557976, 0.19208675999748887, 0.0, 0.0, 0.39644673237491368, 0.094152175277795222, 0.0, 0.0, 0.0, 0.0, 0.016403046280023433, 0.46690099589923845, 0.0, 0.0, 0.421792618629174, 0.094903339191564143]
['609996c31c24827dfbf41a48d42709234b91555bc3d87443176712a10c635694.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.64000000000000001, 0.35999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20687656944176164, 0.0079196445818041344, 0.0, 0.0, 0.78385165153563841, 0.0013521344407958276, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5161290322580645, 0.0, 0.0, 0.45161290322580644, 0.032258064516129031]
['ac55cc5fbaf3b7aeeeaf6089ca6268a8df24e68db1dbfebdb2a5491cb006f307.apk.txt', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014925373134328358, 0.9850746268656716, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.99217638691322907, 0.0, 0.0, 0.0, 0.0, 0.0078236130867709811, 0.0, 0.0, 0.0, 0.0, 0.55824752675146372, 0.37108822935594588, 0.0, 0.0, 0.0048455481526347667, 0.065818695739955579, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.3648549123582268e-05, 0.0, 0.0, 0.0068309029312122556, 0.26833848873177196, 0.22124024156724112, 0.0, 0.0, 0.39401973781116512, 0.10949698040948594, 0.0, 0.0, 0.0, 0.00051098620337250899, 0.21205927439959121, 0.25447112927950943, 0.0, 0.0, 0.32754215636177825, 0.2054164537557486]
['bdfd039bb068f2afa006a5d5da2aebfe0e799e0f0e58222fe2a5058d5b835281.apk.txt', 0.5, 0.0, 0.0, 0.0, 0.3811659192825112, 0.044843049327354258, 0.0, 0.0, 0.01195814648729447, 0.062032884902840063, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.086206896551724144, 0.91379310344827591, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.99922660479505032, 0.0, 0.0, 0.0, 0.0, 0.00077339520494972935, 0.0, 0.0, 0.0, 0.0, 0.59271746459878627, 0.37356709372892782, 0.0, 0.0, 0.0, 0.033715441672285906, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017443275549666008, 0.0, 0.0, 0.010438921491738107, 0.3038375206209265, 0.19558103686075129, 0.0, 0.0, 0.3464991751629391, 0.12620007031397895, 0.0, 0.0, 0.0, 0.0, 0.5725190839694656, 0.045801526717557252, 0.0, 0.0, 0.045801526717557252, 0.33587786259541985]
