app.BatteryMonitor2_0	2011-11-21	0.2333	0.0467	0.2373	0.0378	0.4286	0.5714	0.0611	0.0596	0	0	0	0	0	0	0	0	0.1429	0.0402	0.3333	0.4491	0.8571	0.9598	0.6667	0.5509	0	0	0	0	0.8571	0.2523	0.75	0.4231	0	0	0	0	0.1429	0.7477	0.25	0.5769	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.02	0.0035	0.0032	0.6667	0.825	0	0	0	0	0	0	0.3333	0.175	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biz.neoline.app_core.ui.android.margarita	2011-12-29	0.0649	0.0369	0.0854	0.0135	0.4177	0.7333	0.0282	0.0753	0	0	0	0	0.0253	0.0007	0	0	0	0	0	0	0.9747	0.9993	1	1	0	0	0	0	0.7556	0.9343	0.697	0.8406	0.0222	0.0277	0.0303	0.0572	0.0667	0.0085	0.0909	0.0652	0.0222	0.0015	0.0303	0.0196	0	0	0	0	0.1333	0.028	0.1515	0.0174	0.0238	0.0164	0.0002	0.0017	0.931	0.9818	0.069	0.0182	0	0	0	0	0	0	0	0	0.25	0.0537	0	0	0	0	0	0	0	0	0	0	0.7	0.9317	0.05	0.0146	0	0
ca.rivalstudios.runboyrun	2011-10-01	0.1407	0.0815	0.0365	0.0331	0.5789	0.9091	0.0095	0.0108	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1037	0.0741	0.0005	0.0004	1	1	0	0	0	0	0	0	0	0	0	0	0.4	0.8	0	0	0.3	0.075	0	0	0.1	0.075	0	0	0.2	0.05	0	0	0	0
cmp.netsentry	2011-10-24	0.1962	0.0308	0.1295	0.0246	0.2745	0.5	0.0808	0.1869	0	0	0	0	0.0392	0.1077	0.1429	0.009	0.0588	0.014	0	0	0.902	0.8783	0.8571	0.991	0	0	0	0	0.625	0.3231	0.5	0.5761	0	0	0	0	0.125	0.6069	0.25	0.2387	0	0	0	0	0.125	0.0346	0	0	0.125	0.0354	0.25	0.1852	0.0423	0.0154	0.0069	0.0048	0.4545	0.6995	0.1818	0.1475	0.0909	0.0027	0.0909	0.0027	0.1818	0.1475	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cn.com.opda.android.cleanup1	2011-10-19	0.1318	0.0709	0.1339	0.0364	0.4103	0.619	0.0442	0.1684	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0.7619	0.7012	0.6923	0.4085	0.0476	0.0158	0	0	0.0476	0.1668	0.0769	0.0845	0.0476	0.0292	0.0769	0.0845	0	0	0	0	0.0952	0.087	0.1538	0.4225	0.0439	0.0203	0.0041	0.0039	0.8462	0.8601	0.1538	0.1399	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cn.yufu16.merry	2011-10-23	0.2212	0.0769	0.2957	0.1321	0.3043	0.625	0.2432	0.1978	0	0	0	0	0.1304	0.0007	0.1429	0.0005	0	0	0	0	0.8696	0.9993	0.8571	0.9995	0	0	0	0	0.875	0.9992	1	1	0	0	0	0	0	0	0	0	0.125	0.0008	0	0	0	0	0	0	0	0	0	0	0.0385	0.0096	0.0067	0.0066	0.5	0.9893	0.25	0.0053	0.25	0.0053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
com.alan.message	2011-12-17	0.1331	0.0484	0.1968	0.0513	0.5758	0.8333	0.2673	0.511	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0.75	0.511	0.7	0.6605	0	0	0	0	0.25	0.489	0.3	0.3395	0	0	0	0	0	0	0	0	0	0	0	0	0.0565	0.0323	0.0186	0.0348	0.7857	0.713	0.1429	0.2783	0.0714	0.0087	0	0	0	0	0	0	0.25	0.2837	0	0	0	0	0	0	0	0	0	0	0.75	0.7163	0	0	0	0
com.alan.siwameinv1	2011-11-07	0.1485	0.0786	0.184	0.0458	0.6471	0.9444	0.1126	0.6017	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0.7778	0.6189	0.7647	0.8667	0	0	0	0	0.1667	0.3438	0.1765	0.0762	0	0	0	0	0	0	0	0	0.0556	0.0372	0.0588	0.0571	0.048	0.0218	0.0139	0.0131	0.7273	0.6887	0.1818	0.3019	0.0909	0.0094	0	0	0	0	0	0	0.4	0.62	0	0	0	0	0	0	0	0	0	0	0.6	0.38	0	0	0	0
com.alan.siwameinv2	2011-10-13	0.1075	0.0448	0.0385	0.0079	0.2222	0.8667	0.0625	0.45	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0.7333	0.7283	0.7692	0.5593	0	0	0	0	0.1333	0.2017	0.1538	0.3852	0.0667	0.0433	0	0	0	0	0	0	0.0667	0.0267	0.0769	0.0556	0.0269	0.0149	0.0013	0.0139	0.6667	0.6562	0.2222	0.3333	0.1111	0.0104	0	0	0	0	0	0	0.8	0.086	0	0	0	0	0	0	0	0	0	0	0.2	0.914	0	0	0	0
com.allen.mp	2011-08-15	0.1167	0.1083	0.0726	0.5201	0.3571	0.6154	0.3191	0.0614	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0.6154	0.0533	0.625	0.7699	0	0	0	0	0.2308	0.0315	0.25	0.2212	0	0	0	0	0	0	0	0	0.1538	0.9152	0.125	0.0088	0.125	0.1083	0.0636	0.524	0.8	0.8533	0.1333	0.1422	0.0667	0.0044	0	0	0	0	0	0	0.5385	0.9968	0	0	0	0	0	0	0	0	0	0	0.4615	0.0032	0	0	0	0
